"Suspicious pointer scaling","Implicit scaling of pointer arithmetic expressions can cause buffer overflow conditions.","warning","This pointer might have type [[""Bigint""|""relative:///src/jv_dtoa.c:3404:12:3404:17""]] (size 32), but the pointer arithmetic here is done with type int * (size 4).","/src/jv_dtoa.c","3407","12","3407","12"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (argv)""|""relative:///src/main.c:510:38:510:41""]] and then passed to fopen(__filename)","/src/jq_test.c","16","22","16","28"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (argv)""|""relative:///src/main.c:466:34:466:37""]] and then passed to jv_load_file(filename), which calls open(__file)","/src/main.c","466","34","466","42"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (argv)""|""relative:///src/main.c:311:19:311:22""]] and then passed to jv_load_file(filename), which calls open(__file)","/src/main.c","575","28","575","34"
"Potentially uninitialized local variable","Reading from a local variable that has not been assigned to will typically yield garbage.","warning","The variable [[""mlo""|""relative:///src/jv_dtoa.c:3516:27:3516:29""]] may not be initialized here.","/src/jv_dtoa.c","4145","7","4145","9"
"Potentially uninitialized local variable","Reading from a local variable that has not been assigned to will typically yield garbage.","warning","The variable [[""ch""|""relative:///src/jv_parse.c:734:8:734:9""]] may not be initialized here.","/src/jv_parse.c","755","9","755","10"
"Potentially uninitialized local variable","Reading from a local variable that has not been assigned to will typically yield garbage.","warning","The variable [[""plen""|""relative:///src/jv_parse.c:479:7:479:10""]] may not be initialized here.","/src/jv_parse.c","487","24","487","27"
"Potentially uninitialized local variable","Reading from a local variable that has not been assigned to will typically yield garbage.","warning","The variable [[""startline""|""relative:///src/locfile.c:66:7:66:15""]] may not be initialized here.","/src/locfile.c","85","52","85","60"
"Potentially uninitialized local variable","Reading from a local variable that has not been assigned to will typically yield garbage.","warning","The variable [[""offset""|""relative:///src/locfile.c:67:7:67:12""]] may not be initialized here.","/src/locfile.c","86","70","86","75"
